phecodes,task,phenotype
252.1,bone_metabolism,Hyperparathyroidism
252.1,252.1,Hyperparathyroidism
252.2,252.2,Hypoparathyroidism
252.2,bone_metabolism,Hypoparathyroidism
253.0,253.0,Disorders of the pituitary gland and its hypothalamic control
253.1,253.1,Pituitary hyperfunction
253.11,253.11,Acromegaly and gigantism
253.2,253.2,Pituitary hypofunction
253.3,253.3,Diabetes insipidus
253.4,253.4,Anterior pituitary disorders
253.5,253.5,Pituitary dwarfism
253.7,253.7,Other disorders of neurohypophysis
254.0,254.0,Diseases of thymus gland
255.0,255.0,Disorders of adrenal glands
255.1,255.1,Adrenal hyperfunction
255.11,255.11,Cushing's syndrome
255.12,255.12,Hyperaldosteronism
255.13,255.13,Medulloadrenal hyperfunction
255.2,255.2,Adrenal hypofunction
255.21,255.21,Glucocorticoid deficiency
255.22,255.22,Mineralocorticoid deficiency
255.3,255.3,Adrenogenital disorders
256.0,256.0,Ovarian dysfunction
256.1,256.1,Hyperestrogenism
256.4,256.4,Polycystic ovaries
257.0,257.0,Testicular dysfunction
257.1,257.1,Testicular hypofunction
258.0,258.0,Iatrogenic endocrine disorders
258.1,258.1,Postablative ovarian failure
259.0,259.0,Other endocrine disorders
259.1,259.1,Nonspecific abnormal results of other endocrine function study
259.2,259.2,Carcinoid syndrome
259.3,259.3,Delay in sexual development and puberty NEC
259.4,259.4,Precocious sexual development and puberty NEC
259.8,259.8,Polyglandular activity in multiple endocrine adenomatosis
260.0,260.0,Protein-calorie malnutrition
260.1,260.1,Cachexia
260.2,260.2,severe protein-calorie malnutrition
260.21,260.21,Kwashiorkor
260.22,260.22,Nutritional marasmus
260.3,260.3,Adult failure to thrive
260.6,260.6,Anorexia
260.7,260.7,Polyphagia
261.0,261.0,Vitamin deficiency
261.0,bone_metabolism,Vitamin deficiency
261.1,261.1,Vitamin A deficiency
261.2,261.2,Vitamin B-complex deficiencies
261.3,261.3,Vitamin C deficiencies
261.4,bone_metabolism,Vitamin D deficiency
261.4,261.4,Vitamin D deficiency
261.41,261.41,Rickets or osteomalacia
261.41,bone_metabolism,Rickets or osteomalacia
262.0,262.0,Mineral deficiency NEC
263.0,263.0,Other nutritional deficiency
264.0,264.0,Lack of normal physiological development
264.1,264.1,Short stature
264.2,264.2,Failure to thrive (childhood)
